index,Missing word,Missing emission,Missing transition 1,Missing transition 2,Gibbs samples,Sentences correct,Words correct,Average length of sentence,Average length of sentence correctly predicted,Length of longest sentence correctly predicted,Time taken
319.0,1e-05,1e-12,1e-12,1e-12,150.0,55.2,94.91,14.72,6.42,52.0,272.0
320.0,1e-08,1e-05,1e-05,1e-05,10.0,41.9,91.68,14.72,4.47,40.0,116.0
321.0,1e-08,1e-05,1e-05,1e-05,20.0,41.1,91.44,14.72,4.37,40.0,128.0
322.0,1e-08,1e-05,1e-05,1e-05,50.0,41.65,91.55,14.72,4.48,41.0,159.0
323.0,1e-08,1e-05,1e-05,1e-05,100.0,42.95,92.22,14.72,4.59,40.0,218.0
324.0,1e-08,1e-05,1e-05,1e-05,150.0,43.3,92.22,14.72,4.72,40.0,272.0
325.0,1e-08,1e-05,1e-05,1e-08,10.0,42.1,91.63,14.72,4.55,40.0,115.0
326.0,1e-08,1e-05,1e-05,1e-08,20.0,41.9,91.66,14.72,4.53,40.0,127.0
327.0,1e-08,1e-05,1e-05,1e-08,50.0,42.05,91.61,14.72,4.51,40.0,161.0
328.0,1e-08,1e-05,1e-05,1e-08,100.0,42.9,92.2,14.72,4.6,40.0,216.0
329.0,1e-08,1e-05,1e-05,1e-08,150.0,43.65,92.35,14.72,4.75,40.0,274.0
330.0,1e-08,1e-05,1e-05,1e-10,10.0,41.9,91.3,14.72,4.48,41.0,115.0
331.0,1e-08,1e-05,1e-05,1e-10,20.0,41.9,91.48,14.72,4.51,38.0,127.0
332.0,1e-08,1e-05,1e-05,1e-10,50.0,42.5,91.83,14.72,4.55,40.0,161.0
333.0,1e-08,1e-05,1e-05,1e-10,100.0,43.35,92.03,14.72,4.7,40.0,217.0
334.0,1e-08,1e-05,1e-05,1e-10,150.0,43.65,92.54,14.72,4.77,41.0,278.0
335.0,1e-08,1e-05,1e-05,1e-12,10.0,42.05,91.46,14.72,4.56,40.0,119.0
336.0,1e-08,1e-05,1e-05,1e-12,20.0,41.4,91.36,14.72,4.43,40.0,129.0
337.0,1e-08,1e-05,1e-05,1e-12,50.0,42.9,91.77,14.72,4.67,40.0,165.0
338.0,1e-08,1e-05,1e-05,1e-12,100.0,43.65,92.19,14.72,4.77,41.0,222.0
339.0,1e-08,1e-05,1e-05,1e-12,150.0,43.45,92.26,14.72,4.74,40.0,272.0
340.0,1e-08,1e-05,1e-08,1e-05,10.0,42.1,91.38,14.72,4.5,40.0,116.0
341.0,1e-08,1e-05,1e-08,1e-05,20.0,42.2,91.62,14.72,4.53,40.0,127.0
342.0,1e-08,1e-05,1e-08,1e-05,50.0,42.9,91.78,14.72,4.63,40.0,162.0
343.0,1e-08,1e-05,1e-08,1e-05,100.0,42.8,91.8,14.72,4.61,40.0,216.0
344.0,1e-08,1e-05,1e-08,1e-05,150.0,43.45,92.29,14.72,4.69,39.0,275.0
345.0,1e-08,1e-05,1e-08,1e-08,10.0,41.6,91.46,14.72,4.42,40.0,115.0
346.0,1e-08,1e-05,1e-08,1e-08,20.0,42.3,91.52,14.72,4.57,40.0,127.0
347.0,1e-08,1e-05,1e-08,1e-08,50.0,42.9,91.89,14.72,4.61,39.0,160.0
348.0,1e-08,1e-05,1e-08,1e-08,100.0,42.6,91.97,14.72,4.58,40.0,217.0
349.0,1e-08,1e-05,1e-08,1e-08,150.0,43.5,92.3,14.72,4.74,40.0,271.0
350.0,1e-08,1e-05,1e-08,1e-10,10.0,41.35,91.42,14.72,4.43,40.0,119.0
351.0,1e-08,1e-05,1e-08,1e-10,20.0,41.6,91.26,14.72,4.41,40.0,127.0
352.0,1e-08,1e-05,1e-08,1e-10,50.0,42.85,91.96,14.72,4.66,40.0,163.0
353.0,1e-08,1e-05,1e-08,1e-10,100.0,43.35,92.07,14.72,4.72,41.0,215.0
354.0,1e-08,1e-05,1e-08,1e-10,150.0,43.5,92.36,14.72,4.75,40.0,273.0
355.0,1e-08,1e-05,1e-08,1e-12,10.0,41.75,91.42,14.72,4.49,38.0,115.0
356.0,1e-08,1e-05,1e-08,1e-12,20.0,41.8,91.33,14.72,4.45,40.0,127.0
362.0,1e-08,1e-05,1e-10,1e-05,50.0,42.25,91.68,14.72,4.52,40.0,163.0
363.0,1e-08,1e-05,1e-10,1e-05,100.0,42.85,92.02,14.72,4.63,41.0,221.0
